,code_id,period_id,timestamp,end_timestamp,code,00. Start Phase,02. Situation Type,Half,03. Outcomes,04. Rating,01. Phase,<flag>New Flag
43,44,1,618.7041075836668,640.1018107500003,D1 Counterpress,,After O3/O4,1st Half,Establishing Pressing,Neutral,,
44,45,1,638.5021054583337,654.2026668753335,D3 Middle / Lower Pressing,,After Ball Loss,1st Half,"Cross, Shot, Set-Piece or Box Entry",Unsuccessful,,
45,46,1,658.6045072089998,705.9357574583335,D4 Defending the Box,,Central Area,1st Half,,,Lateral Free Kick,
46,47,1,696.0676430423339,707.0676430423339,def free kick,,Central Area,1st Half,"Cross, Shot, Set-Piece or Box Entry",Neutral,,
47,48,1,713.9000469173337,734.5342815003335,O1 Play from the Back,O1 Play from the Back,O1 Goal Kick or Free Kick,,Ball Loss --> D3 Press,Unsuccessful,,
48,49,1,726.5023583756672,739.8344682083335,D1 Counterpress,,After O2 build-up,,"Intercept. -> Estab. (O1, O2, O3)",Successful,,
49,50,1,738.2712119583339,839.6031614586667,O2 Build Up,O2 Build Up,O2 After Regain,,Stay In Phase,Neutral,,
50,51,1,843.7683180006667,865.0364333333338,O2 Build Up,O2 Build Up,O2 Throw-In,,Ball Loss --> D3 Press,Unsuccessful,,
51,52,1,856.5720440419999,876.9694510833336,D1 Counterpress,,After O2 build-up,,"Intercept. -> Estab. (O1, O2, O3)",Successful,,
52,53,1,874.8029210840001,910.303436166667,O2 Build Up,O2 Build Up,O2 After Regain,,Progress to Next Phase,Successful,,
53,54,1,891.0696633336669,919.9691951666672,O3 Break Through,O3 Break Through,,,Keep The Ball,Neutral,Established Play,
54,55,1,918.272127625,963.9363440003332,O2 Build Up,O2 Build Up,O3 to O2,,Ball Loss --> D3 Press,Unsuccessful,,
55,56,1,964.6031450833333,1003.438287791667,D3 High Pressing,,After Ball Loss,,"Intercept. -> Estab. (O1, O2, O3)",Successful,,
56,57,1,1001.4696212919999,1062.403421708333,O2 Build Up,O2 Build Up,O2 After Regain,,Progress to Next Phase,Successful,,
57,58,1,1043.303978958667,1069.6028186673336,O3 Break Through,O3 Break Through,Early Through Pass or Cross,,"Cross, Shot, Set-Piece or Box Entry",Successful,Established Play,
58,59,1,1050.3040893336665,1073.8375905419998,O4 Finishing,O4 Finishing,Square Pass,,"Cross, Shot, Set-Piece or Box Entry",Neutral,Established Play,
59,60,1,1062.1036029173338,1085.804356791667,O3 Break Through,O3 Break Through,1v1 Wide / Halfspace,,"Cross, Shot, Set-Piece or Box Entry",Successful,Established Play,
60,61,1,1065.0376230423335,1079.3397025423333,D1 Counterpress,,After O3/O4,,"Intercept. -> Estab. (O1, O2, O3)",Successful,,
61,62,1,1066.570116291667,1091.5705045000004,O4 Finishing,O4 Finishing,Chipball,,"Cross, Shot, Set-Piece or Box Entry",Neutral,Established Play,
62,63,1,1082.6719406250004,1106.2034613756668,O4 Finishing,O4 Finishing,Long Throw,,,,Throw In,
63,64,1,1092.8064740423333,1136.9067893333336,O4 Finishing,O4 Finishing,Front Area,,,,Corner Kick,
64,65,1,1096.0040934586668,1107.0040934586668,off throw,O4 Finishing,Long Throw,,"Cross, Shot, Set-Piece or Box Entry",Neutral,Throw In,
65,66,1,1128.0722385836666,1139.0722385836666,off corner,,Front Area,,Intercepted by Defence,Unsuccessful,,
66,67,1,1147.4377377083338,1163.7047172086673,D3 High Pressing,,D3 Goal Kick or Free Kick,,"Intercept. -> Estab. (O1, O2, O3)",Successful,,
67,68,1,1161.970943041667,1206.1382268750008,O2 Build Up,O2 Build Up,O2 After Regain,,Ball Loss --> D3 Press,Unsuccessful,,
68,69,1,1215.3717689170003,1234.9710219590004,D3 High Pressing,,D3 Goal Kick or Free Kick,,"Intercept. -> Estab. (O1, O2, O3)",Successful,,
69,70,1,1231.3400553753331,1247.471750292,D1 Counterpress,,After O2 build-up,,"Intercept. -> Estab. (O1, O2, O3)",Successful,,
70,71,1,1233.005254792,1239.771853959,O2 Build Up,O2 Build Up,O2 Throw-In,,Ball Loss --> D3 Press,Unsuccessful,,
71,72,1,1245.9407730000003,1276.840006792,O2 Build Up,O2 Build Up,O2 After Regain,,Progress to Next Phase,Successful,,
72,73,1,1257.738775625,1286.5053726673334,O3 Break Through,O3 Break Through,Central Play Infront of Backline,,Keep The Ball,Neutral,Established Play,
73,74,1,1288.9412266673335,1317.0723213753336,O2 Build Up,O2 Build Up,O2 Throw-In,,Ball Loss --> D3 Press,Unsuccessful,,
74,75,1,1316.7039517923336,1325.5395720836668,D3 Middle / Lower Pressing,,D3 Press on Throw-In,,"Intercept. -> Estab. (O1, O2, O3)",Successful,,
75,76,1,1327.3387452083334,1340.8396133750005,O2 Build Up,O2 Build Up,O2 Throw-In,,Ball Loss --> D3 Press,Unsuccessful,,
76,77,1,1330.106681667,1353.106681667,Offside review,,,,,,,
77,78,1,1353.7319438753334,1371.8705107923338,O2 Build Up,O2 Build Up,O2 Free Kick,,Ball Loss --> D3 Press,Unsuccessful,,
78,79,1,1374.7731816670002,1431.3723210006667,D3 Middle / Lower Pressing,,After Ball Loss,,"Intercept. -> Estab. (O1, O2, O3)",Successful,,
79,80,1,1429.9083867923337,1435.2083526673337,O1 Play from the Back,O1 Play from the Back,O1 After Regain,,Progress to Next Phase,Successful,,
